It.Codigo;Descricao
7540587;DUC ACQ JET ULT BK
7541004;PRESSURIZADOR MAXI
7541005;PRESSURIZADOR MAXI
7541014;PRESSURIZADOR PL 9
7541015;PRESSURIZADOR PL20
7541017;PRESSURIZADOR PL20
7541021;PRESSURIZADOR PL12
7541022;PRESSURIZADOR PL40
7541500;DUCHA TOP JET MULT
7541501;DUCHA TOP JET MULT
7541502;DUCHA TOP JET MULT
7541506;DUCHA TOP JET ELET
7541507;DUCHA TOP JET ELET
7541510;DUCHA TOPJET TUR M
7541511;DUCHA TOP JET ELET
7541512;DUCHA TOPJET TUR E
7541513;DUCHA TOPJET TUR E
7541514;DUCHA TOPJET TUR M
7541515;DUCHA TOPJET TUR M
7541516;DUCHA TOPJET TUR E
7550022;TORN ELET VERSATIL
7550023;TORN ELET VERSATIL
7550031;TORN ELET VERSATIL
7550032;TORN ELET VERSATIL
7550035;TOR ELE LOREN EASY
7550036;TOR ELE LOREN EASY
7550037;TOR ELE LOREN EASY
7550038;TOR ELE LOREN EASY
7550041;TOR ELE LOREN EASY
7550042;TOR ELE LOREN EASY
7551005;TORNEIRA CLEAN 3T 
7551033;TORN EL ESSENCE M 
7551037;TORN EL ESSENC M 2
7560025;AQUEC VERSATIL 127
7560027;AQUEC VERSATIL 220
7560031;DUCHA HIGIENICA 3T
7560038;AQUEC VERSATIL 127
7560040;AQUEC VERSATIL 220
7560043;DUCHA HIGIENICA 3T
7560046;MAXI AQUECEDOR ULT
7560050;MAXI AQUECEDOR ULT
7570077;DISPLAY DE CHAO CU
7581005;3059 DISCO SEPARAD
7581011;2056 ANEL VEDA DIS
7581012;756A ANEL VEDACAO 
7581023;A-01B ESPALHADOR D
7581024;A-01P ESPALHADOR D
7581027;A-02B ESPALHADOR C
7581028;A-02P ESPALHADOR C
7581034;A-08 CORPO BASE
7581041;018A RETENTOR 1/2 
7581048;A-13 DIAFRAGMA
7581049;A-14 SISTEMA DE AC
7581054;A-19 ENGATE RAPIDO
7581085;072B ESPALHADOR TR
7581101;A-05B TAMPA INFERI
7581135;353 SUPORTE P/RESI
7581164;A-07B HASTE BRANCA
7581190;084 SUPORTE P/ CHU
7581236;6010 CONJUNTO ESPA
7581237;6020 CONJUNTO CONT
7581238;6030 CONJUNTO ACIO
7581241;6060 CAPA DA ROLDA
7581245;6075 ANEL DE VEDAC
7581255;6090B BOTAO SELETO
7581258;6052 CIRCUITO ELET
7581261;6090-C BOTAO SELET
7581275;D-11 ANEL DA TAMPA
7581330;A-41B ESPALHADOR A
7581332;A-41R ESPALHADOR A
7581334;6091A CORPO ADV MU
7581337;6020B PLACA ADV TU
7581338;6020C PLACA TJET T
7581349;LS-01 ESPALHADOR L
7581350;LS-02 CORPO L.SHOW
7581351;LS-03 CORPO L.SHOW
7581352;LS-04 ANEL LOREN S
7581353;LS-05 CIRCUITO ELE
7581355;LS-07 DIAFRAGMA L.
7581358;AT001 CORPO ADV/TJ
7581359;AT002 CORPO ADV/TJ
7581369;AT012 CONJ ACION A
7581377;6033-A HASTE ADVAN
7581389;AT-013 CONJ SELECA
7581407;A-41M ESPALHADOR A
7581416;C-003 ESPALH PR AC
7581417;C-004 ESPALH BC AC
7582078;2055R RES BLIN DU 
7583012;10001 CHAVE SELETO
7583017;10006 CORPO CPL/EM
7583019;10008 ANEL DE VEDA
7583020;10009 CJ.ESPALHAD.
7583026;313A ACIONADOR MD/
7583036;10012 CORPO CPL/EM
7583045;10000 CAPA BRANCA 
7583115;3053A SUPORTE DA R
7583122;372X ESPALHADOR MA
7583123;F-110 CORPO MULTI 
7584093;7055 CANO P/PRESSU
7584100;7019A BASE P/TURBO
7584107;2093 DUCHA DIRIGIV
7584133;6010-A CONJ ESPALH
7584220;F02 ANEL ORING DA 
7584327;PL-2003 FLUXOSTATO
7585022;10035 CORPO COMPL 
7585091;930 CORPO REGISTRO
7585114;ES-12 CIRCUITO ELE
7586006;434-E REGISTRO COM
7586014;8073 ORING P/AQ VE
7586021;8081 TAMPA DE ACIO
7586024;8084 CAMARA DE AQU
7586032;M004 ORING MAXAQ U
7589001;055-J RESIST 127V 
7589003;055-B RESIS 220V46
7589004;055 RESIST 127V460
7589005;055A RESIS 220V550
7589007;055-L RESIS 127V55
7589008;055-N RESIS 220V57
7589025;055-J RESIST 127V 
7589029;055A RESIS 220V550
7589030;055-M RESIS 127V46
7589031;055-L RESIS 127V55
7589033;055-H RESIS 220V68
7589043;3055-R RES.220/780
7589044;3055-R RES.220/780
7589047;3055-Q RESIST 127V
7589048;3055-P RESIST 220V
7589049;3055-O RESIST 220V
7589055;755E RES AQ.VERS 1
7589057;755G RES AQ.VERS 2
7589059;400E RES DU.HIG3T 
7589060;3055-Q RESIST 127V
7589061;3055-P RESIST 220V
7589062;3055-O RESIST 220V
7589068;3056-B RES 127/550
7589069;3056-A RES 220/680
7589071;3056-C RESIST 127/
7589072;3056-B RES 127/550
7589073;3056-A RES 220/680
7589074;3056-D RES 220/750
7589075;3056E RES 127/5500
7589076;3056F RES 220/7500
7589077;3056E RES 127/5500
7589078;3056F RES 220/7500
7589082;055A RESIS 220V550
7589085;3056-P2 RES 220V 5
7589086;3056-P1 RES 127V 4
7589098;3055-F2 RES 220V 6
7589101;3060-A RESIS 127V5
7589105;3060-C RESIS 220V7
7589106;3060-C RESIS 220V7
7589111;065 RES 3T LORENUL
7589112;065J RES3T LORENUL
7589113;065B RES3T LORENUL
7589114;065A RES3T LORENUL
7589115;3065 RES ACQUA ULT
7589116;3065A RES ACQUA UL
7589117;3065B RES ACQUA UL
7589118;3065 RES ACQUA ULT
7589119;3065A RES ACQUA UL
7589120;3065B RES ACQUA UL
7589122;3056-G RES 220/680
7589126;065J RES3T LORENUL
7589127;065B RES3T LORENUL
7589128;065A RES3T LORENUL
7589149;3065J RES L.SHOW U
7589150;3065L RES L.SHOW U
7589151;3065M RES L.SHOW U
7589154;3065I RES L.SHOW U
7589155;3065J RES L.SHOW U
7589156;3065L RES L.SHOW U
7589157;3065M RES L.SHOW U
7589159;4065A RES ULT ACQC
7589160;4065B RES ULT ACQC
7589205;083 CHUVEIRINHO
7589211;086 DESVIADOR COMP
7589214;8042 DUCHA MANUAL 
7589227;765 RES 2T MAXIAQ 
7589229;3065E RES4T LORENU
7589231;3065F RES4T LORENU
7589234;3065E RES4T LORENU
7589236;3065F RES4T LORENU
7589243;3070A RES TOR ESSE
7720004;COMBO BACIA C-CX L
7720023;COMBO BACIA WAY CX
7720024;COMBO BACIA WAY CX
7720027;COMBO BACIA ONE CX
7780006;MS-50 BOTAO DUPLO 
7780047;MS-51 ESTRIBO MECA
